site,location,fragment.size,edge.distance
S1,L1,64.5,150
S1,L2,64.5,80
S1,L3,64.5,180
S10,L1,5.3,90
S11,L1,30.6,180
S11,L2,30.6,150
S12,L1,10.5,50
S12,L2,10.5,50
S13,L1,61.6,60
S13,L2,61.6,50
S13,L3,61.6,260
S14,L1,10.5,50
S15,L1,3.6,70
S16,L1,9,120
S17,L1,1.1,50
S18,L1,8.5,80
S19,L1,6.7,60
S2,L1,1.1,130
S3,L1,149,70
S3,L2,149,180
S3,L3,149,70
S3,L4,149,140
S33,L1,1.2,50
S39,L1,124.2,130
S39,L2,124.2,170
S39,L3,124.2,80
S4,L1,30.5,140
S4,L2,30.5,130
S5,L1,51,200
S5,L2,51,150
S5,L3,51,140
S6,L1,3,70
S7,L1,46,110
S7,L2,46,150
S7,L3,46,130
S8,L1,5.4,100
S9,L1,1.3,50
