site,location,group,square,canopy,nets,plots,species,girth
S13,L1,G2,5,70%,1 Net,1 plot,Acacia caesia,0.1
S13,L1,G2,15,50%,,,Acacia caesia,0.2
S13,L1,G2,2,45%,,1 plot,Actinodaphne bourdillonii,6
S13,L1,G2,15,50%,,,Actinodaphne bourdillonii,2
S19,L1,G2,2,75%,1 Net,2 Plots,Actinodaphne bourdillonii,0.6
S19,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.8
S19,L1,G2,5,65%,,,Actinodaphne bourdillonii,1.2
S19,L1,G2,6,70%,,,Actinodaphne bourdillonii,0.6
S19,L1,G2,6,70%,,,Actinodaphne bourdillonii,2
S19,L1,G2,8,50%,,,Actinodaphne bourdillonii,1.5
S19,L1,G2,9,70%,,,Actinodaphne bourdillonii,1.2
S18,L1,G2,1,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,1,55%,,,Actinodaphne bourdillonii,1.2
S18,L1,G2,1,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,1,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,1,55%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,1,55%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,2,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,2,55%,,,Actinodaphne bourdillonii,1.2
S18,L1,G2,2,55%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,2,55%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,1.5
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,1.5
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,0.6
S18,L1,G2,3,40%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.9
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,1.2
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,1.2
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.3
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.4
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,1.2
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,0.5
S18,L1,G2,4,70%,,,Actinodaphne bourdillonii,1.3
