species,q95_size,max_size,n,n_large,n_sapling
Psychotria nigra,7,64,2082,2,1048
Psychotria macrocarpa,4.439999999999987,21,1553,0,253
Litsea floribunda,18.59999999999991,60,849,18,599
Syzygium rubicundum,14.099999999999909,91,830,13,378
Humboldtia brunonis,9,20,661,0,283
Dimocarpus longan,24.25,95,596,14,121
Memecylon malabaricum,6,15.6,522,0,277
Reinwardtiodendron anamalaiense,10.349999999999966,123,474,4,117
Litsea mysorensis,12,35,351,2,243
Blachia umbellata,13.559999999999992,40,332,1,10
Ixora sp.,6,15,286,0,40
Symplocos racemosa,35.099999999999966,150,260,17,137
Dichapetalum gelonioides,4.974999999999994,11.3,222,0,44
Nothopegia travancorica,7.574999999999989,19,218,0,58
Clerodendrum infortunatum,3,15,195,0,47
